city,year,case,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2013,17,,,,,,,,,,,,,,,,,,,,,
台南市,2013,73,,,,,,,,,,,,,,,,,,,,,
高雄市,2013,99,,,,,,,,,,,,,,,,,,,,,
屏東縣,2013,21,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2013,14,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2013,15,,,,,,,,,,,,,,,,,,,,,
台東縣,2013,27,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2013,1,,,,,,,,,,,,,,,,,,,,,
金門縣,2013,0,,,,,,,,,,,,,,,,,,,,,
連江縣,2013,0,,,,,,,,,,,,,,,,,,,,,
台北市,2014,279,,,,,,,,,,,,,,,,,,,,,
新北市,2014,528,,,,,,,,,,,,,,,,,,,,,
基隆市,2014,10,,,,,,,,,,,,,,,,,,,,,
桃園市,2014,121,,,,,,,,,,,,,,,,,,,,,
新竹市,2014,10,,,,,,,,,,,,,,,,,,,,,
新竹縣,2014,29,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2014,22,,,,,,,,,,,,,,,,,,,,,
南投縣,2014,41,,,,,,,,,,,,,,,,,,,,,
台中市,2014,59,,,,,,,,,,,,,,,,,,,,,
彰化縣,2014,71,,,,,,,,,,,,,,,,,,,,,
雲林縣,2014,43,,,,,,,,,,,,,,,,,,,,,
嘉義市,2014,10,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2014,16,,,,,,,,,,,,,,,,,,,,,
台南市,2014,116,,,,,,,,,,,,,,,,,,,,,
高雄市,2014,210,,,,,,,,,,,,,,,,,,,,,
屏東縣,2014,60,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2014,15,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2014,44,,,,,,,,,,,,,,,,,,,,,
台東縣,2014,37,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2014,7,,,,,,,,,,,,,,,,,,,,,
金門縣,2014,5,,,,,,,,,,,,,,,,,,,,,
連江縣,2014,0,,,,,,,,,,,,,,,,,,,,,
台北市,2015,69,,,,,,,,,,,,,,,,,,,,,
新北市,2015,132,,,,,,,,,,,,,,,,,,,,,
基隆市,2015,5,,,,,,,,,,,,,,,,,,,,,
桃園市,2015,37,,,,,,,,,,,,,,,,,,,,,
新竹市,2015,12,,,,,,,,,,,,,,,,,,,,,
新竹縣,2015,6,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2015,16,,,,,,,,,,,,,,,,,,,,,
南投縣,2015,21,,,,,,,,,,,,,,,,,,,,,
台中市,2015,53,,,,,,,,,,,,,,,,,,,,,
彰化縣,2015,99,,,,,,,,,,,,,,,,,,,,,
雲林縣,2015,21,,,,,,,,,,,,,,,,,,,,,
嘉義市,2015,4,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2015,15,,,,,,,,,,,,,,,,,,,,,
